Sample Name,"Height, El Cap section (m)",OrgC,Al_corrected,Al 2σ uncertainty (ppm),Ca_corrected,Ca 2σ uncertainty (ppm),Si_corrected,Si 2σ uncertainty (ppm),Ti_corrected,Ti 2σ uncertainty (ppm)
M1801 16.9,75.3,4.9,38585.8789,6937.717228,169603.6814,1734.18187,196324.5242,12940.59898,2684.327402,201.5831576
M1801 17.4,75.8,5.07,30684.4082,6881.339828,145966.5948,1716.82357,223707.7269,12956.98838,2154.019179,196.0568576
M1801 17.9,76.3,3.43,18513.8613,6820.165128,182945.2193,1744.72797,226512.5069,12961.76978,1450.106006,192.9289576
M1801 18.3,76.7,2.14,12613.4268,6721.708028,79107.88474,1630.42277,336380.6622,12978.62458,1009.570085,183.2516576
M1801 18.9 ,77.3,7.1,15032.0947,6821.976528,250908.8408,1788.34137,176864.8868,12927.46318,1085.249472,193.8915576
M1801 19.5,77.9,2.65,18376.2207,6849.587528,279309.5346,1788.60657,175160.9259,12929.07468,1283.163898,193.7960576
M1801 20.1,78.5,1.46,10777.4375,6782.400328,258776.9156,1777.66717,213915.7401,12960.61218,944.7924273,190.3702576
M1801 20.8,79.2,2.35,16934.4277,6733.625428,39823.12195,1569.97617,347429.3108,12963.40568,1230.304711,183.7261576
M1801 21.5,79.9,4.32,42789.1406,6910.357428,88317.82779,1671.54597,260321.1091,12971.13058,2840.671829,201.3231576
M1801 22.4,80.8,2.73,25825.2207,6902.358328,189616.4509,1776.43717,203916.0563,12955.48928,1739.728368,198.5040576
M1801 22.7,81.1,2.75,27538.4062,6876.757228,133605.2533,1713.32587,232907.3843,12984.12218,1666.733253,193.2306576
M1801 23.0,81.4,3.67,45636.5156,6954.847928,123652.0704,1704.04317,215527.7621,12970.34528,2663.232279,198.5438576
M1801 23.5,81.9,2.69,36352.5156,6914.023728,133768.0091,1716.84577,235524.8022,12987.55928,2186.318727,196.7901576
M1801 24.0,82.4,2.76,34063.582,6918.229828,151192.7049,1716.01437,226959.7928,12985.43458,2039.40867,198.4441576
M1801 24.4,82.8,4.05,39082.3164,6913.648128,111376.4092,1686.39837,241767.7205,12985.31798,2285.837859,196.5782576
M1801 25.2,83.6,7.96,61451.6719,6985.134228,64683.41408,1641.32227,228693.9833,12971.50018,3329.323211,202.2740576
M1801 25.7,84.1,9,65124.1016,6936.059228,21490.6339,1551.01587,243154.0382,12960.25078,3648.50486,200.9403576
M1801 26.4,84.8,2.81,24914.5332,6857.696728,178236.4875,1736.42087,236198.7899,12969.19838,1810.648136,196.1254576
M1901 26.7,85.1,4.97,43411.7539,6970.408428,171533.2009,1739.33867,195605.2121,12964.44868,2425.148835,201.4435576
M1801 27.3,85.7,3.53,32706.3105,6954.760728,248632.8993,1792.71467,172771.0876,12951.08188,1841.754455,202.4031576
M1801 28.0,86.4,3.62,44628.2305,6963.537228,139356.1454,1714.94927,208869.9421,12972.09678,2490.769762,199.4141576
M1801 28.8,87.2,1.49,13247.9062,6776.298928,141292.9699,1706.20837,254000.9478,12993.83818,943.5565055,187.1339576
M1801 29.2,87.6,2.63,25047.498,6904.744228,222157.6097,1783.76447,184049.8293,12958.64588,1547.084009,197.3773576
M1801 29.7,88.1,1.26,14111.1514,6831.619528,282376.4145,1811.27787,154505.6911,12907.77938,1102.486832,194.7180576
F1917 0.1,100.1,3.79,27594.5488,6813.872128,66636.85659,1630.09237,296257.0457,12971.79238,1799.736436,190.8969576
F1917 2.2,102.2,6.06,43019.8047,6929.434528,117404.7696,1709.08837,217257.6702,12954.09868,2873.664751,202.8845576
F1917 3.1,103.1,5.96,39525.7148,6924.709228,136385.7356,1719.85527,217451.0304,12957.89658,2718.836402,200.7984576
F1917 3.8,103.8,5.04,32158.8633,6855.640828,97895.27082,1666.89677,262200.8616,12970.90938,2327.927449,195.2108576
F1917 14.3 ,104.3,5.98,32504.5449,6872.048528,130781.2666,1706.41287,216767.4671,12949.57758,2545.751041,198.0964576
F1917 15.8 ,105.8,4.25,29359.582,6868.813528,144506.3515,1711.73347,248849.7254,12969.90498,2143.052113,196.0694576
F1917 6.1,106.1,5.97,44106.1133,6963.853828,141019.4198,1720.60447,209485.2128,12954.58578,3084.471801,203.1312576
F1917 27.8 ,107.8,8.52,29763.7539,6864.468028,132260.6088,1709.08897,233121.1857,12960.18438,2269.236431,197.7762576
F1917 8.3,108.3,5,28353.127,6891.890228,200382.172,1761.84867,168113.2335,12920.18248,2284.716513,199.8563576
F1917 10.5,110.5,3.1,22742.2207,6783.413528,80144.7583,1643.69047,302421.2182,12976.04818,1803.292645,190.2775576
F1917 13.5,113.5,6,28074.0879,6839.682828,120266.4327,1694.03107,264675.5636,12972.52628,2170.132077,195.4184576
F1917 20.0,120,6.22,45121.5039,6972.717028,112827.3391,1704.24137,224002.894,12964.23278,3272.140479,203.5269576
F1917  21.8,121.8,7.49,34676.5195,6821.409228,49610.65245,1600.77827,279909.671,12955.13638,1807.124232,190.5623576
F1917 23.4,123.4,4.47,21755.3945,6822.664628,172112.2379,1732.97937,174677.0533,12918.62858,1743.399985,196.3105576
F1917 25.1,125.1,7.84,27161.4316,6898.111828,185023.9873,1755.83217,197980.0221,12947.52108,2126.444036,199.9772576
F1917 27.0,127,7.27,22585.5176,6811.435328,117313.1628,1686.64957,240419.2795,12960.29078,1771.020418,193.5213576
F1917 29.0,129,10.16,31675.1211,6848.025828,90664.28823,1662.72097,231178.0348,12949.01708,2362.634125,196.4200576
F1917 30.0,130,8.7,18412.9141,6750.214328,68744.75076,1623.57677,291611.5069,12960.92108,1464.915254,188.3112576
F1917 31.8,131.8,10.12,26861.0742,6868.236628,188866.92,1753.25767,190558.9885,12934.86158,2002.971724,198.3142576
F1917 34.7,134.7,9.45,22894.8027,6796.724628,108061.379,1673.03657,235661.3074,12948.47878,1757.146057,191.8269576
F1917 35.4,135.4,11.16,27536.9961,6873.442028,182619.1171,1749.68857,161084.1801,12905.92538,2122.204216,199.4698576
F1917 36.5,136.5,8.66,26307.1934,6901.884528,269048.9548,1803.23247,151371.6308,12902.02398,1864.174418,202.4459576
F1917 37.7,137.7,12.61,45983.8438,6934.772528,99832.94184,1683.75967,206271.8614,12937.85978,3281.900917,202.3835576
F1917 38.5,138.5,15.9,36349.3477,6897.316828,150406.4232,1722.27137,163146.8196,12903.46268,2666.416819,200.0242576
F1917 39.5,139.5,7.17,27791.3906,6914.255828,236124.0619,1779.08847,179051.6431,12932.64558,2146.606557,201.4800576
F1917 42.0,142,12.05,22067.3203,6795.570928,107008.3402,1676.83277,229417.6843,12944.22688,1777.993124,192.6662576
F1917 42.5,142.5,4.62,23864.9102,6843.324528,150487.673,1718.33247,211043.0132,12948.90468,1922.0177,195.2284576
F1917 43.5,143.5,16.33,33492.7578,6857.798728,126186.1252,1699.68537,169490.84,12901.41998,2490.680324,197.3753576
F1917 44.5,144.5,11.96,24325.8828,6853.884728,158050.0344,1735.33377,188518.4459,12934.10188,2002.192132,196.4209576
F1917 45.3,145.3,9.57,28003.6641,6901.431628,193112.1938,1748.38077,161596.5468,12912.13308,2274.290954,198.3642576
F1917 48.4,148.4,9.85,31235.1289,6860.510228,138052.1997,1704.65797,166731.9429,12904.04728,2351.952719,199.6618576
F1917 50.2,150.2,10.19,22590.5879,6852.567928,183204.9077,1751.50947,155298.3429,12901.55488,2177.359799,197.1759576
EA2110_50.8_A,150.8,3.33,7911.1343,6767.509128,334403.1688,1813.04957,103729.4427,12834.96028,1053.243168,193.3699576
F1917 51.0,151,6.91,30356.9883,6922.892528,196513.4849,1749.90407,189239.7663,12944.45508,2389.784206,202.9215576
EA2110_51.1_A,151.1,2.5,8102.438,6772.313228,326309.5279,1813.15607,107238.0911,12842.48178,962.7292912,190.6757576
EA2110_51.4_A,151.4,3.4,8721.7871,6768.222528,300030.4273,1796.32107,94217.71126,12816.43168,1029.7271,190.3142576
EA2110_51.7_A,151.7,4.9,11298.2295,6741.664728,212116.8468,1747.07747,117664.7226,12852.11758,1412.592485,190.7856576
EA2110_52.0_A,152,7,16182.0498,6740.265628,110898.5678,1669.01897,132943.2101,12863.14508,1840.115284,190.2843576
EA2110_52.3_A,152.3,5.1,12172.5879,6696.052628,68909.96772,1613.36257,200353.941,12909.61948,1328.605476,184.5870576
EA2110_52.6_A,152.6,5.1,9651.5898,6677.630228,65180.5416,1607.62137,237813.9906,12924.74268,1046.200657,182.4524576
EA2110_53.2_A,153.2,5.9,8630.3662,6713.539128,217538.7817,1736.81907,136560.5645,12873.11818,1041.191943,187.3162576
EA2110_53.5_A,153.5,14.7,10898.2158,6730.030528,228691.6824,1745.52237,100231.9294,12819.39888,1218.30158,189.1760576
EA2110_54.1_A,154.1,4.5,14372.0615,6756.334828,181132.2041,1726.03497,148771.7946,12881.30758,1230.063094,188.4924576
EA2110_54.4_A,154.4,2.9,8067.1445,6695.157628,163055.6487,1700.42757,160475.6189,12891.11408,939.1968114,184.1887576
EA2110_54.7_A,154.7,6.9,8200.6455,6741.739728,220270.955,1748.11857,131301.8495,12872.75358,931.5790328,186.9110576
EA2110_55.0_A,155,3.7,7702.2559,6685.967228,117139.4991,1663.94567,197034.2474,12913.65378,949.5328285,182.6962576
EA2110_55.3_A,155.3,3.3,9468.46,6770.623028,294938.3159,1796.45217,101488.4482,12830.81808,862.6137,189.5888576
EA2110_55.6_A,155.6,8.1,11992.1367,6792.393528,283478.3727,1790.02607,104292.0545,12833.05528,926.1971946,190.5948576
EA2110_55.9_A,155.9,15.8,13615.2617,6743.011528,147411.9622,1701.83387,120620.4112,12851.06598,1321.375261,188.4208576
EA2110_56.2_A,156.2,7.9,16914.4688,6764.373928,115869.9316,1676.59857,199204.18,12924.58928,1561.052066,188.5616576
EA2110_56.5_A,156.5,12.2,17754.0215,6784.950228,149031.348,1709.53747,155354.9319,12894.77188,1749.723567,191.8902576
EA2110_56.8_A,156.8,8.2,14130.6445,6752.816528,125021.0909,1682.94107,216348.1631,12936.94638,1256.104397,187.0889576
F1917 57.0,157,7.47,34971.6484,6933.543228,167390.2156,1747.70387,208500.6439,12956.03448,2688.859324,202.6229576
EA2110_57.1_A,157.1,10.5,17041.9531,6771.681728,149560.8555,1708.53427,150685.534,12887.56798,1748.480477,192.1942576
EA2110_57.8_A,157.8,16.4,18188.8242,6787.745528,189108.8091,1736.84447,130030.3324,12867.06078,1631.80719,192.3583576
EA2110_58.1_A,158.1,10.9,12052.3896,6761.378728,224441.7816,1755.66627,122334.7922,12857.21118,1146.515691,190.2842576
EA2110_58.4_A,158.4,19.8,15352.5273,6788.492528,208223.8428,1755.18677,122844.1465,12857.52228,1329.179186,192.0457576
EA2110_58.7,158.7,11.1,10734.2998,6769.166528,242657.2484,1760.15647,197084.8916,12941.02668,1127.438991,190.1148576
EA2110_59.0,159,18,12697.6836,6785.995528,244961.6417,1770.26417,143245.1829,12887.24008,1374.791537,192.7067576
EA2110_59.3,159.3,18.3,12179.8877,6789.541228,257325.1686,1780.85417,147231.8355,12894.03378,1291.951533,193.1144576
EA2110_59.6_A,159.6,6.3,13312.3633,6814.402928,296469.2159,1799.43867,143793.9301,12892.06558,1150.381972,192.7384576
EA2110_59.9,159.9,6,13129.8652,6806.274428,288373.6847,1791.14757,124082.6878,12869.10698,1352.212851,193.1577576
EA2110_60.2_A,160.2,9.4,19787.3457,6831.637028,186712.1889,1747.38587,180295.0719,12925.37668,1748.134569,195.3484576
EA2110_60.5_A,160.5,7.3,19555.7051,6840.725528,237675.0848,1771.67777,160993.7242,12913.34828,1590.066936,195.8992576
EA2110_60.8_A,160.8,6.8,12663.1875,6780.188128,210117.586,1746.94907,198160.269,12942.31548,1228.489054,190.1420576
EA2110_61.1_A,161.1,6.5,13561.4053,6800.423828,276507.3051,1789.62117,160876.0709,12913.76098,1299.294974,194.9704576
EA2110_61.4_A,161.4,6.3,12239.1152,6782.849828,267120.4001,1777.42187,160557.6231,12912.14158,1155.540683,192.2218576
EA2110_61.7_A,161.7,6.2,12894.1836,6806.216028,306595.9052,1812.65667,121297.9033,12865.56728,1239.174304,197.3296576
EA2110_62.0_A,162,7.1,19136.4766,6811.253828,181704.0347,1732.35557,217756.4514,12955.02288,1550.585476,193.0851576
EA2110_62.3_A,162.3,6.8,19770.4453,6822.099428,196820.1926,1748.05027,200240.4438,12941.73658,1559.057846,194.0888576
EA2110_62.6_A,162.6,7.8,11762.1299,6807.101628,327049.45,1822.30077,128053.9462,12877.37788,1169.168753,200.1516576
EA2110_62.9_A,162.9,6,16423.2617,6833.695428,297531.6173,1803.75667,151041.5792,12903.75448,1375.884941,196.8235576
EA2110_63.2_A,163.2,7.8,13259.7275,6795.592028,255344.7903,1779.40157,166699.4791,12918.61728,1122.345202,193.3319576
EA2110_63.8_A,163.8,7.4,10214.1318,6772.087128,310825.9981,1803.78207,121922.2909,12864.34168,961.2961079,193.4714576
EA2110_64.1_A,164.1,9.5,15971.5498,6811.321428,275609.9631,1788.22917,116762.0581,12856.97148,1348.438397,195.2051576
