SAMPLE_NAME,SAMPLE_HEIGHT,OrgC
EA2110_49.1_A,149.1,
EA2110_49.1_B,149.1,
EA2110_49.2_A,149.2,
EA2110_49.2_B,149.2,
EA2110_49.3_A,149.3,
EA2110_49.3_B,149.3,
EA2110_49.4_A,149.4,
EA2110_49.4_B,149.4,
EA2110_49.5_A,149.5,
EA2110_49.5_B,149.5,
EA2110_49.6_A,149.6,
EA2110_49.6_B,149.6,
EA2110_49.7,149.7,
EA2110_49.8_A,149.8,
EA2110_49.8_B,149.8,
EA2110_49.9_A,149.9,
EA2110_49.9_B,149.9,
F1917 50.2,150.2,0.101943589
EA2110_50.2_A,150.2,
EA2110_50.2_B,150.2,
EA2110_50.5_A,150.5,
EA2110_50.5_B,150.5,
EA2110_50.8_A,150.8,0.033345418
EA2110_50.8_B,150.8,
F1917 51.0,151,0.069068725
EA2110_51.1_A,151.1,0.025
EA2110_51.1_B,151.1,
EA2110_51.4_A,151.4,0.034
EA2110_51.4_B,151.4,
EA2110_51.7_A,151.7,0.049
EA2110_51.7_B,151.7,
EA2110_52.0_A,152,0.07
EA2110_52.0_B,152,
EA2110_52.3_A,152.3,0.051
EA2110_52.3_B,152.3,
EA2110_52.6_A,152.6,0.051
EA2110_52.6_B,152.6,
EA2110_52.9_A,152.9,
EA2110_52.9_B,152.9,
EA2110_53.2_A,153.2,0.059
EA2110_53.2_B,153.2,
EA2110_53.5_A,153.5,0.147
EA2110_53.5_B,153.5,
EA2110_53.8_A,153.8,
EA2110_53.8_B,153.8,
EA2110_54.1_A,154.1,0.045
EA2110_54.1_B,154.1,
EA2110_54.4_A,154.4,0.029
EA2110_54.4_B,154.4,
EA2110_54.7_A,154.7,0.069
EA2110_54.7_B,154.7,
EA2110_55.0_A,155,0.037
EA2110_55.0_B,155,
EA2110_55.3_A,155.3,0.033
EA2110_55.3_B,155.3,
EA2110_55.6_A,155.6,0.081
EA2110_55.6_B,155.6,
EA2110_55.9_A,155.9,0.158
EA2110_55.9_B,155.9,
EA2110_56.2_A,156.2,0.079
EA2110_56.2_B,156.2,
EA2110_56.5_A,156.5,0.122
EA2110_56.5_B,156.5,
EA2110_56.8_A,156.8,0.082
EA2110_56.8_B,156.8,
F1917 57.0,157,0.074659975
EA2110_57.1_A,157.1,0.105
EA2110_57.1_B,157.1,
EA2110_57.8_A,157.8,0.164
EA2110_57.8_B,157.8,
EA2110_58.1_A,158.1,0.109
EA2110_58.1_B,158.1,
EA2110_58.4_A,158.4,0.198
EA2110_58.4_B,158.4,
EA2110_58.7,158.7,0.111
EA2110_59.0,159,0.18
EA2110_59.3,159.3,0.183
EA2110_59.6_A,159.6,0.063
EA2110_59.6_B,159.6,
EA2110_59.9,159.9,0.06
EA2110_60.2_A,160.2,0.094
EA2110_60.2_B,160.2,
EA2110_60.5_A,160.5,0.073
EA2110_60.5_B,160.5,
EA2110_60.8_A,160.8,0.068
EA2110_60.8_B,160.8,
EA2110_61.1_A,161.1,0.065
EA2110_61.1_B,161.1,
EA2110_61.4_A,161.4,0.063
EA2110_61.4_B,161.4,
EA2110_61.7_A,161.7,0.062
EA2110_61.7_B,161.7,
EA2110_62.0_A,162,0.071
EA2110_62.0_B,162,
EA2110_62.3_A,162.3,0.068
EA2110_62.3_B,162.3,
EA2110_62.6_A,162.6,0.078
EA2110_62.6_B,162.6,
EA2110_62.9_A,162.9,0.06
EA2110_62.9_B,162.9,
EA2110_63.2_A,163.2,0.078
